Name,Category,ImageURL,Address,Latitude,Longitude,Notes,AKA
A-Lot Staff Parking,Parking,,,42.45844166666667,-76.47668888888889,A Lot,
A. D. White Gardens,Plantations,http://images.localist.com/photo/000/016/496/huge/HFBeKgfQSJjcd_ML.jpg?1298662352,,42.44780277777777,-76.48188888888889,Plantations,
A. D. White House,Central Campus,http://images.localist.com/photo/000/016/497/huge/Hg3hgSjMo0ohzVvM.jpg?1298662357,,42.44827539927017,-76.48199256088425,A. D. White House,
AAP Downtown Facility,Near Campus,,,42.44296111111111,-76.51018611111111,531 Esty St.,
AAP New York City Center,NYC,,,40.73868611111111,-73.99462375719648,"AAP NYC; 50 West 17th St., New York, NY",
AAP in Rome,World,http://images.localist.com/images/main/business_huge.png?1340747100,,41.89516666666667,12.47551388888889,Palazzo Lazzaroni;Cornell in Rome; QuickWorld; http://aap.cornell.edu/rome/,
Acacia,Greek,,"318 Highland Road, Ithaca, NY 14850",42.45871,-76.48725899999999,Greek: IFC,
Academic Surge Facility A,Ag,,"222 Tower Rd, Ithaca, NY 14850",42.448307,-76.47831600000001,,
Academic Surge Facility B,Ag,,"220 Tower Rd, Ithaca, NY 14850",42.448063,-76.478309,,
Africana Studies and Research Center,North Campus,http://images.localist.com/photo/000/016/498/huge/rRwo2mnBsnGAeAV_.jpg?1298662363,,42.45742908810382,-76.48233306045474,John Henrik Clarke Library,
Ag Quad,Areas and Features,http://images.localist.com/photo/000/016/499/huge/GL2faSBBidUZ9uTB.jpg?1298662368,,42.44874223637841,-76.47859920035884,,
Agriculture Waste Management Laboratory,East Campus,,"236 Gallus Rd, Ithaca, NY 14850",42.444322,-76.45227800000001,,
Albany/Court,Carshare,,,42.4420013,-76.5018005,,
Alpha Chi Omega,Greek,,"509 Wyckoff Road, Ithaca, NY 14850",42.457199,-76.487083,Greek: Panhellenic,
Alpha Delta Phi,Greek,,"777 Stewart Avenue, Ithaca, NY 14850",42.450802,-76.4898,Greek: IFC,
Alpha Epsilon Phi,Greek,,"435 Wyckoff Ave Ithaca, NY 14850",42.456589,-76.48542,Greek: Panhellenic,
Alpha Epsilon Pi,Greek,,"140 Thurston Ave., Ithaca, NY 14850",42.454239,-76.48828899999999,Greek: IFC,
Alpha Gamma Rho,Greek,,"203 Highland Ave., Ithaca, NY 14850",42.455681,-76.48519899999999,Greek: IFC,
Alpha Phi,Greek,,"411 Thurston Ave., Ithaca, NY 14850",42.453281,-76.483879,Greek: Panhellenic,
Alpha Sigma Phi,Greek,,"804 Stewart Ave., Ithaca, NY 14850",42.452129,-76.49073,Greek: IFC,
Alpha Xi Delta,Greek,,"40 Ridgewood, Ithaca, NY 14850",42.45538,-76.48967,Greek: Panhellenic,
Alpha Zeta,Greek,,"214 Thurston Ave., Ithaca, NY 14850",42.454121,-76.487228,Greek: IFC,
"Alumni Affairs and Development, Ithaca",Near Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44064709196398,-76.4975857737418,"130 E. Seneca St., Ithaca, NY 14850",
"Alumni Affairs and Development, NYC",NYC,http://images.localist.com/images/main/business_huge.png?1340747100,,40.74584500000003,-73.98210799999998,"230 Park Avenue, New York, NY 10169",
Alumni House,North Campus,http://images.localist.com/photo/000/016/502/huge/wKR5Twa4cRdd81F3.jpg?1298662386,,42.45180308662604,-76.48087705296938,,
American Indian Program House,North Campus,http://images.localist.com/photo/000/016/500/huge/IGfQWIRvqW0kqQYz.jpg?1298662372,"115 Jessup Rd, Ithaca, NY 14850",42.456146,-76.48043199999999,Housing; Akwekon; Akwe:kon,
Anabel Taylor Hall,Law,http://images.localist.com/photo/000/016/503/huge/hNakDbXwktJUAc45.jpg?1298662391,"548 College Ave, Ithaca, NY 14850",42.444933,-76.485615,Cafe (www.campuslife.cornell.edu/campuslife/dining/moosewood-at-anabel-taylor.cfm),
Animal Science Teaching and Research Barns,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44498333333333,-76.46722739706648,,
Anna Comstock House,North Campus,http://images.localist.com/photo/000/018/820/huge/3HmiEoqDfccFIdVY.jpg?1308651696,"520 Thurston Ave, Ithaca, NY 14850",42.453918,-76.482343,Anna Comstock Hall (Latino Living Center); Housing,
Appel Basketball Courts,North Campus,http://images.localist.com/photo/000/016/504/huge/4Y60clWxCJb1T8YF.jpg?1298662395,,42.45641904040157,-76.47451510079988,,
Appel South Fields and Tennis Courts,North Campus,,,42.45414376031689,-76.47476155731965,,
"Appledore Island, Gulf of Maine",World,,,42.98771388888889,-70.61504615280131,Shoals Marine Lab; SML; QuickWorld; http://www.sml.cornell.edu/,
Aquaculture Building,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,42.441875,-76.46795640613645,,
Arecibo Observatory,World,http://images.localist.com/photo/000/016/506/huge/Kgg5wCoyEboTAmpc.jpg?1298662404,,18.34412100530012,-66.75273185884147,National Astronomy and Ionosphere Center (NAIC); QuickWorld; http://www.naic.edu/,
Arnot Teaching and Research Forest,State,http://images.localist.com/images/main/business_huge.png?1340747100,,42.26295850898513,-76.62686198584412,Natural Resources; QuickState,
Arthropod Research Facility,East Campus,,"226 Gallus Rd, Ithaca, NY 14850",42.444271,-76.451763,,
Arts Quad,Areas and Features,http://images.localist.com/photo/000/016/507/huge/08hJOa28GCcow76s.jpg?1298662409,,42.44927341600597,-76.48453236734474,,
Aurora/Yates,Carshare,,,42.4472008,-76.4961014,,
B-Lot Staff Parking,Parking,,,42.44626111111111,-76.46345000000001,B Lot,
B-Lot Visitor Parking,Parking,,,42.44565314890922,-76.46475548239978,Metered Parking; B Lot,
Bailey Hall,Central Campus,http://images.localist.com/photo/000/016/671/huge/01yPtAA3zUkOZhcg.jpg?1298676108,"230 Garden Ave, Ithaca, NY 14850",42.449223,-76.48012300000001,,
Baker Institute for Animal Health,Near Campus,http://images.localist.com/photo/000/016/510/huge/onbFazHH7qeb0FZp.jpg?1298662422,,42.4280182269747,-76.45397840393025,Veterinary; Hungerford Hill,
Baker Laboratory,Central Campus,http://images.localist.com/photo/000/016/511/huge/gHPvoNPdmHPwfM9M.jpg?1298662426,"259 East Ave, Ithaca, NY 14850",42.450151,-76.48177099999999,,
Baker North,West Campus,http://images.localist.com/photo/000/016/605/huge/NV3tntVk8fSsXTAd.jpg?1298662875,"117 Gothics Way, Ithaca, NY 14850",42.448714,-76.48866099999999,North Baker Hall; Housing,
Baker South,West Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"123 Gothics Way, Ithaca, NY 14850",42.448494,-76.48835699999999,South Baker Hall; Housing,
Baker Tower,West Campus,http://images.localist.com/photo/000/016/512/huge/ylkXe4Tg0tC0m1eH.jpg?1298662430,"356 West Ave, Ithaca, NY 14850",42.448928,-76.488153,Housing,
Balch Hall,North Campus,http://images.localist.com/photo/000/016/513/huge/ChJZCCIpKwmtWehQ.jpg?1298662434,"600 Thurston Ave, Ithaca, NY 14850",42.452988,-76.479677,Housing; Cafe (www.campuslife.cornell.edu/campuslife/dining/carols-cafe.cfm),
Bard Hall,Engineering,http://images.localist.com/photo/000/016/514/huge/ODzHq_AMwGxPaguW.jpg?1298662437,"126 Hollister Dr, Ithaca, NY 14850",42.443878,-76.484026,,
Barnes Hall,Central Campus,http://images.localist.com/photo/000/016/515/huge/tVZWzkNPX0PwJodf.jpg?1298662440,"129 Ho Plz, Ithaca, NY 14850",42.446429,-76.484324,Organ; organs,
Bartels Hall,Athletics,http://images.localist.com/photo/000/016/516/huge/T_XPYE_oU9oCDCda.jpg?1298662445,"554 Campus Rd, Ithaca, NY 14850",42.445755,-76.476204,Basketball; Volleyball,
Barton Hall,Athletics,http://images.localist.com/photo/000/016/517/huge/rVKt1EFFkY3HxZjG.jpg?1298662449,"117 Statler Dr, Ithaca, NY 14850",42.445954,-76.480718,Police; ROTC; Track and Field,
Barton Laboratory,State,,,42.87526236037491,-77.00568277583521,,
Bauer Hall,North Campus,http://images.localist.com/photo/000/016/518/huge/32aQa49sf1aibkW8.jpg?1298662455,"148 Cradit Farm Dr, Ithaca, NY 14850",42.453612,-76.47846199999999,Housing,
Beebe Dam,Areas and Features,,,42.45194444444445,-76.47949484615532,,
Beebe Dam Bridge,Areas and Features,http://images.localist.com/photo/000/016/519/huge/JHH5yhLaOMP2OOxT.jpg?1298662461,,42.45174444444445,-76.47998194959622,,
Beebe Hall,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"110 Plantations Rd, Ithaca, NY 14850",42.448938,-76.474251,,
Beebe Lake,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45144120784915,-76.47722253197705,,
Beebe Lake Green,Areas and Features,http://images.localist.com/photo/000/016/520/huge/jBZty5Yce_wBj_Gk.jpg?1298662465,,42.45233825196799,-76.4784185327896,,
Belkin Squash Courts,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,42.43500943203117,-76.4655658495486,230 Pine Tree Road,
Berman Soccer Field,Athletics,,,42.44615427455427,-76.47368526096032,,
Beta Theta Pi,Greek,,"100 Ridgewood Road, Ithaca, NY 14850",42.455921,-76.489891,Greek: IFC,
Big Red Barn,Central Campus,http://images.localist.com/photo/000/016/521/huge/rkbplVV650tOhkUU.jpg?1298662472,"135 Presidents Dr, Ithaca, NY 14850",42.448499,-76.480959,Cafe (www.campuslife.cornell.edu/campuslife/dining/big-red-barn.cfm),
Bill and Melinda Gates Hall,Engineering,,"107 Hoy Rd, Ithaca, NY 14850",42.44495,-76.480807,,Gates Hall
Biology Quad,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44685502604717,-76.47891930427842,,
Biotechnology Building,Central Campus,http://images.localist.com/photo/000/017/178/huge/ErApy3vE9HoKKArJ.jpg?1300376182,,42.44642620951885,-76.47836221728224,,
Blair Farm Complex,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44299166666666,-76.46880792163064,,
Blauvelt Laboratory,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"169 Helios Cir, Ithaca, NY 14850",42.448652,-76.469785,,
Boldt Hall,West Campus,http://images.localist.com/photo/000/016/523/huge/mp91NNc5nS8bywOG.jpg?1298662483,"727 University Ave, Ithaca, NY 14850",42.449007,-76.488725,Housing; Language House,
Boldt Tower,West Campus,,"727 University Ave, Ithaca, NY 14850",42.448998,-76.48906599999999,Housing,
Boyce Thompson Institute,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"533 Tower Rd, Ithaca, NY 14850",42.447035,-76.46764,,
Bradfield Hall,Ag,http://images.localist.com/photo/000/016/524/huge/orlmiOxAcBrj7k2d.jpg?1298662489,"306 Tower Rd, Ithaca, NY 14850",42.447931,-76.475775,,
Brooklane Apartments,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45660555555556,-76.4817,Housing,
Bruckner Laboratory,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"208 Mann Dr, Ithaca, NY 14850",42.448324,-76.47407699999999,,
Buffalo/Stewart,Carshare,,,42.4416008,-76.490097,,
Business and Technology Park,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,42.48543611111111,-76.4612789046395,"Thornwood, Brown Rd., Brown Rd, Brown Road",
Buttermilk Falls State Park,Community,http://images.localist.com/photo/000/016/525/huge/1tWhS3V00rAcIofe.jpg?1298662494,,42.41700555555555,-76.52156793990243,,
Caldwell Hall,Ag,http://images.localist.com/photo/000/016/527/huge/mBVxPnDFROsP_xCZ.jpg?1298662503,"121 Reservoir Ave, Ithaca, NY 14850",42.449222,-76.478261,,
Carl Becker House,West Campus,http://images.localist.com/photo/000/016/528/huge/rpZVzdQEBzaiEgx3.jpg?1298662508,"647 Stewart Ave, Ithaca, NY 14850",42.448208,-76.489555,Housing; Dining (www.campuslife.cornell.edu/campuslife/dining/carl-becker-house-dining.cfm),
Carpenter Hall,Carshare,,,42.4449997,-76.4841995,,
Carpenter Hall,Engineering,http://images.localist.com/photo/000/016/529/huge/4I4All7DPfbnE8KI.jpg?1298662512,"313 Campus Rd, Ithaca, NY 14850",42.444818,-76.484173,Engineering Library,
Cascadilla Creek,Areas and Features,http://images.localist.com/photo/000/016/530/huge/1EtvmCi_mmP0gqh_.jpg?1298662518,,42.44314523091679,-76.48697828665757,,
Cascadilla Hall,Collegetown,http://images.localist.com/photo/000/016/531/huge/I2SGSkWPeminSSA9.jpg?1298662523,"115 Cascadilla Pl, Ithaca, NY 14850",42.442393,-76.48680899999999,Housing,
Cascadilla/Park,Carshare,,,42.4444008,-76.5055008,,
Cayuga Inlet,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45305539149857,-76.51134960628511,,
Cayuga Medical Center,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,42.46915555555556,-76.53753611111111,Hospital,
Cayuga Nature Center,Community,,"1420 Taughannock Blvd., Ithaca, NY 14850",42.519042,-76.554624,,
Cayuga/Farm,Carshare,,,42.4448013,-76.4991989,,
Cayuga/Lewis,Carshare,,,42.4496002,-76.4994965,,
Center for Jewish Living,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,,42.4443886044577,-76.48787851283069,Housing,
Central Heating Plant,East Hill,,"651 Dryden Rd, Ithaca, NY 14850",42.442929,-76.47469599999999,,
Chesterton House,Co-ops,,,42.4537,-76.49009722222222,Housing,
Chi Phi,Greek,,"107 Edgemoor Lane, Ithaca, NY 14850",42.443691,-76.48877,Greek: IFC,
Chi Psi,Greek,,"810 University Ave., Ithaca, NY 14850",42.450859,-76.488129,Greek: IFC,
Chilled Water Plant,Central Campus,http://images.localist.com/photo/000/016/533/huge/_geBN88NbhivAMuY.jpg?1298662533,,42.45133333333334,-76.47925570823594,,
Clara Dickson Hall,North Campus,http://images.localist.com/photo/000/016/534/huge/drUoGTOJWPZ_1zO_.jpg?1298662538,"21 Sisson Pl, Ithaca, NY 14850",42.454242,-76.479112,Housing,
Clark Hall,Central Campus,http://images.localist.com/photo/000/016/535/huge/_34UcJWCGcANNZ64.jpg?1298662542,"142 Sciences Dr, Ithaca, NY 14850",42.449819,-76.481122,Physical Sciences Library; Edna McConnell Clark Library;,
College Avenue Stone Arch Bridge,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44303240435108,-76.48521342703204,,
College/Dryden,Carshare,,,42.4413986,-76.485199,,
Collegetown (Ctown),Parking,,,42.44165578506068,-76.4852334806199,Metered Parking; Restaurants; Shops,
Collyer Boat House,Athletics,http://images.localist.com/images/main/business_huge.png?1340747100,"685 Third St, Ithaca, NY 14850",42.446922,-76.511169,Rowing,
Companion Animal Hospital,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44690277777777,-76.46464444444445,Dogs; Cats; Feline; Canine,
Computing and Communications Center,Ag,http://images.localist.com/photo/000/016/526/huge/Mqc56UNucrsbPsqi.jpg?1298662499,"235 Garden Ave, Ithaca, NY 14850",42.449285,-76.47903599999999,"CCC, HelpDesk; Net IDs, CIT, IT",
Comstock Hall,Central Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44658086079809,-76.47933943483466,Comstock Memorial Library of Entomology,
Conference Lot C,Parking,,,42.455835,-76.478951,Parking for CAU,
Convenient Care at Ithaca,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,42.47979792770936,-76.4644410997154,,
Cook House,West Campus,http://images.localist.com/photo/000/016/501/huge/zbRnOQYerQNZKb0c.jpg?1298662376,"709 University Ave, Ithaca, NY 14850",42.448831,-76.489599,Housing; Dining (www.campuslife.cornell.edu/campuslife/dining/alice-cook-house-dining.cfm),
Cornell Child Care Center,North Campus,http://images.localist.com/photo/000/016/537/huge/7Fp99ggutpH_O8VL.jpg?1298662553,"150 Pleasant Grove Rd, Ithaca, NY 14850",42.459272,-76.475892,Daycare; Bright Horizons,
Cornell Club of New York City,NYC,,,40.75441425183247,-73.97934035554516,,
Cornell Orchards,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44490928638045,-76.46227959979427,Cider; Apples,
Cornell Plantations Brian C. Nevin Welcome Center,Plantations,http://images.localist.com/photo/000/016/690/huge/wCWo7205tLxrmYuO.jpg?1298885120,"124 Comstock Knoll Dr, Ithaca, NY 14850",42.449563,-76.472291,,
Cornell in Washington D.C.,World,http://images.localist.com/photo/000/016/699/huge/Y1crvEHqZBIwEAEp.jpg?1298892044,,38.90833611111111,-77.04848899999998,QuickWorld; http://ciw.cornell.edu/,
Corson Hall,Central Campus,,"215 Tower Rd, Ithaca, NY 14850",42.447254,-76.478252,,
Court Residence Hall,North Campus,http://images.localist.com/photo/000/016/541/huge/lNqFCGmZ80zA1pPJ.jpg?1298662574,"148 Cradit Farm Dr, Ithaca, NY 14850",42.454471,-76.47802900000001,Housing,
Court/Linn,Carshare,,,42.4426994,-76.4945984,,
"Creek Farm Cottage, Portsmouth, New Hampshire",World,,,43.05819444444444,-70.73943888888888,Shoals Marine Lab,
Dairy Bar,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44704904733062,-76.47023804164313,Cafe (www.dairystore.cornell.edu); Ice Cream,
Dairy Bar Parking Lot,Parking,,,42.44734396858172,-76.47022945547511,Metered Parking,
Day Hall,Central Campus,http://images.localist.com/photo/000/016/543/huge/7Qr6DoBeG3FLn_ic.jpg?1298662584,"144 East Ave, Ithaca, NY 14850",42.447017,-76.483271,,
DeFrees Lab,Engineering,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44465,-76.48479957728475,,
Dean's Garden,Plantations,http://images.localist.com/photo/000/016/544/huge/u09wMqimiP301K7O.jpg?1298662590,,42.4496,-76.47728611111111,Plantations,
Delta Chi,Greek,,"102 The Knoll, Ithaca, NY 14850",42.453777,-76.488327,Greek: IFC,
Delta Delta Delta,Greek,,"118 Triphammer Road, Ithaca, NY 14850",42.455399,-76.481369,Greek: Panhellenic,
Delta Gamma,Greek,,"117 Triphammer Rd., Ithaca, NY 14850",42.455479,-76.48045399999999,Greek: Panhellenic,
Delta Kappa Epsilon,Greek,,"13 South Ave., Ithaca, NY 14850",42.444561,-76.487122,Greek: IFC,
Delta Phi,Greek,,"100 Cornell Ave., Ithaca, NY 14850",42.44661,-76.491997,Greek: IFC,
Delta Tau Delta,Greek,,"104 Mary Ann Wood Dr., Ithaca, NY 14850",42.445358,-76.488663,Greek: IFC,
Delta Upsilon,Greek,,"6 South Ave., Ithaca, NY 14850",42.445148,-76.487167,Greek: IFC,
Dilmun Hill Student Organic Farm,East Hill,,,42.44323075468782,-76.46916095964916,,
Dimock Environmental Control Laboratory,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"129 Helios Cir, Ithaca, NY 14850",42.448489,-76.46827,Dimock Lab,
Dolgen Hall,Central Campus,http://images.localist.com/photo/000/016/547/huge/FFBLKwQvCToNZZfn.jpg?1298662607,"140 Garden Ave, Ithaca, NY 14850",42.447294,-76.480109,ILR Extension Building,
Downtown Ithaca,Community,http://images.localist.com/photo/000/016/692/huge/D_KUcwXlbqkAuiX8.jpg?1298887173,,42.44042741966716,-76.49690704583793,,
Dryden/Elmwood,Carshare,,,42.4412003,-76.4822998,,
Duffield Hall,Engineering,http://images.localist.com/photo/000/016/548/huge/ztArPfTLO_0aybrg.jpg?1298662612,"343 Campus Rd, Ithaca, NY 14850",42.444667,-76.48257099999999,Cafe (www.campuslife.cornell.edu/campuslife/dining/mattins-cafe.cfm),
Dyce Laboratory,Near Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"201 Freese Rd, Ithaca, NY 14850",42.465025,-76.44515800000001,Dyce Lab for Honey Bee Research; Bees; Beekeeping; Apiary,
East Campus Research Facility,East Campus,,"626 Tower Rd, Ithaca, NY 14850",42.446819,-76.46586600000001,,
East Campus Service Center,East Campus,,"209 Solidago Rd, Ithaca, NY 14850",42.445328,-76.45615100000001,,
East Hill Office Building,East Hill,http://images.localist.com/photo/000/016/549/huge/Sra9OEY1sD2bk5lQ.jpg?1298662616,"395 Pine Tree Rd, Ithaca, NY 14850",42.439152,-76.46323099999999,EHOB; Pine Tree Road,
East Hill Plaza,East Hill,,"315-335 Pine Tree Rd, Ithaca, NY 14850",42.437848,-76.464159,,
Ecology and Toxicology Fish Hatchery,East Hill,,"145 Ecology Dr, Ithaca, NY 14850",42.441586,-76.466471,Ecotoxicology Lab,
Eddy Gate,Areas and Features,http://images.localist.com/photo/000/016/550/huge/t6F7QeID4mnhCpYp.jpg?1298662620,,42.44239734568337,-76.48747576535891,,
Eddy/Dryden,Carshare,,,42.4422989,-76.4873962,,
Emerson Hall,Ag,http://images.localist.com/photo/000/016/850/huge/BBP8j493nOhFEqBk.jpg?1299168075,"236 Mann Dr, Ithaca, NY 14850",42.448384,-76.47581,,
Engineering Quad,Areas and Features,http://images.localist.com/photo/000/016/695/huge/aA3I3QzCidJJFqtM.jpg?1298888069,,42.4445244352726,-76.48362705461125,,
Environmental Health & Safety,East Campus,,"201 Palm Rd, Ithaca, NY 14850",42.446437,-76.459806,,
Equine Drug Sports Medicine Facility,Near Campus,,"913 Warren Dr, Ithaca, NY 14850",42.500524,-76.46651300000001,,
Equine Metabolism Unit,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"833 Campus Rd, Ithaca, NY 14850",42.444534,-76.467482,Horses,
Equine Park,Near Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.46151388888889,-76.45801111111112,Horses; Blue Grass Lane,
Equine and Farm Animal Hospitals,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44735587146558,-76.46349310680466,"Equine Hospital,Farm Animal Hospital",
Facilities Services Recycling Center,East Campus,,"251 Solidago Rd, Ithaca, NY 14850",42.44335,-76.456047,,
Faculty Tennis Club,Athletics,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44278145355228,-76.47973073272239,,
Fall Creek,Areas and Features,http://images.localist.com/photo/000/016/691/huge/wgg35hu8WpbkoLcV.jpg?1298886050,,42.45368055555556,-76.47257131475479,,
Fall Creek Studios,Community,,,42.45343334578066,-76.49757430849698,,
Farm Service Shop,East Campus,,"126 McGowan Woods Rd, Ithaca, NY 14850",42.44638,-76.458394,,
Federal Nutrition Lab,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44774928379528,-76.46723663983026,,
Fernow Hall,Ag,http://images.localist.com/images/main/business_huge.png?1340747100,"226 Mann Dr, Ithaca, NY 14850",42.448442,-76.475128,,
Flora Rose House,West Campus,http://images.localist.com/photo/000/016/554/huge/z6p_UjbwDm37JiCG.jpg?1298662642,"134 Gothics Way, Ithaca, NY 14850",42.447773,-76.48885,Housing,
Floriculture Buildings,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44878055555555,-76.46930132249992,,
Food Science Laboratory,East Campus,,"423 Tower Rd, Ithaca, NY 14850",42.447107,-76.47042500000001,,
Founders Hall,West Campus,http://images.localist.com/photo/000/016/555/huge/q_0iwY2eUm6fIMCI.jpg?1298662647,"352 West Ave, Ithaca, NY 14850",42.448433,-76.487976,Housing,
Foundry,Arts,http://images.localist.com/photo/000/016/556/huge/w4F6SuCweGnBvT3M.jpg?1298662651,"936 University Ave, Ithaca, NY 14850",42.451518,-76.483532,AAP,
Foundry Kiln Shed,Arts,,,42,-76,AAP,
Friedman Strength and Conditioning Center,Athletics,,"554 Campus Rd, Ithaca, NY 14850",42.4455,-76.47576100000001,,
Friedman Wrestling Center,Athletics,http://images.localist.com/photo/000/016/558/huge/boNfmat1SYhD9SCi.jpg?1298662660,"610 Campus Rd, Ithaca, NY 14850",42.445595,-76.474537,,
Friends Hall,Athletics,http://images.localist.com/photo/000/016/492/huge/BggR9UlrItgh24PO.jpg?1298662328,,42.44501176256377,-76.47825661934418,Hall of Fame,
Fuertes Observatory,North Campus,http://images.localist.com/photo/000/016/559/huge/9mD1gihXwlNFZY5_.jpg?1298662663,"209 Cradit Farm Dr, Ithaca, NY 14850",42.45277,-76.474502,Telescopes; telescope,
Gannett Health Services,Central Campus,http://images.localist.com/photo/000/016/560/huge/hUcSA6w4ikOBc1bz.jpg?1298662667,"110 Ho Plz, Ithaca, NY 14850",42.445832,-76.485558,,
Goldwin Smith Hall,Arts,http://images.localist.com/photo/000/016/561/huge/XkXF4rBvfkhM8CoE.jpg?1298662672,"232 East Ave, Ithaca, NY 14850",42.449063,-76.483473,"Lewis Auditorium, HEC Auditorium, Kaufman Auditorium, Hollis E. Cornell Auditorium",
Graphic Arts Services Building,East Hill,,"490 Pine Tree Rd, Ithaca, NY 14850",42.443435,-76.471216,,
