Name,Category,ImageURL,Address,Latitude,Longitude,Notes,AKA
Green St,Carshare,,,42.4387016,-76.4973984,,
Grossman Pond,Plantations,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45211666666667,-76.45438888888889,Plantations,
Grounds Operations Facility,East Campus,,"275 Palm Rd, Ithaca, NY 14850",42.445949,-76.45729799999999,,
Grumman Hall,Engineering,http://images.localist.com/images/main/business_huge.png?1340747100,"134 Rhodes Dr, Ithaca, NY 14850",42.443362,-76.482089,,
Grumman Squash Courts,Athletics,http://images.localist.com/images/main/business_huge.png?1340747100,"505 Campus Rd, Ithaca, NY 14850",42.444971,-76.479882,,
Guterman Bioclimatic Laboratory,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"105 Caldwell Rd, Ithaca, NY 14850",42.447477,-76.46051199999999,,
Hanger Theatre,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45511319081163,-76.51721254024353,,
Hans Bethe House,West Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"314 West Ave, Ithaca, NY 14850",42.447056,-76.488589,Housing; Dining (www.campuslife.cornell.edu/campuslife/dining/jansens-dining.cfm); Cafe (www.campuslife.cornell.edu/campuslife/dining/west-side-express.cfm),
Harford Animal Science Teaching and Research Center,State,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44147299475389,-76.24818966468412,Sheep; Beef; Cattle; Dairy; Cows,
Hartung-Boothroyd Observatory,Near Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45821994533021,-76.38458013882671,"Telescopes; telescope; HBO; Mount Pleasant, Mt. Pleasant",
Hasbrouck Apartments,North Campus,,"121 Pleasant Grove Rd, Ithaca, NY 14850",42.456329,-76.471926,Housing,
Hasbrouck Community Center,North Campus,,"121 Pleasant Grove Rd, Ithaca, NY 14850",42.456324,-76.471925,Housing,
Hedrick Hall,State,http://images.localist.com/images/main/business_huge.png?1340747100,,42.87675714092701,-77.00741734635007,,
Helen Newman Hall,North Campus,http://images.localist.com/photo/000/016/563/huge/twkjo8_Z0a1MexkX.jpg?1298662684,"163 Cradit Farm Dr, Ithaca, NY 14850",42.452959,-76.47735400000001,Fitness,
High Voltage Laboratory,East Hill,,"909 Mitchell St, Ithaca, NY 14850",42.437378,-76.472392,,
Ho Plaza,Areas and Features,http://images.localist.com/photo/000/016/564/huge/q9xq_Cs2LAO3SCTl.jpg?1298662688,,42.44669683894491,-76.48507194844021,,
Hoffman Challenge Course Pavilion,Near Campus,,"466 Mount Pleasant Rd, Ithaca, NY 14850",42.461023,-76.385988,,
Holland International Living Center,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45564415875947,-76.47605786812652,Housing,
Hollister Hall,Engineering,http://images.localist.com/photo/000/016/566/huge/Ru1oDWCIygVaLYA2.jpg?1298662697,"527 College Ave, Ithaca, NY 14850",42.443989,-76.48454700000001,,
Horton Lab,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.4487183691615,-76.4687770613175,,
Hot Truck,West Campus,http://images.localist.com/photo/000/016/567/huge/mZ4TgYavAyqfma_9.jpg?1298662702,,42.4483611111111,-76.49021666666667,Cafe (www.shortstopdeli.com/hot-truck); Truck,
Houston Pond,Plantations,http://images.localist.com/photo/000/016/568/huge/_fVSm0G6_7w_eVCI.jpg?1298662706,,42.45105555555556,-76.45460555555556,Plantations,
Hoy Field,Athletics,http://images.localist.com/photo/000/016/569/huge/5D1Ty_fd03mVT0es.jpg?1298662710,,42.44417185951525,-76.48060022508952,Baseball,
Hudson/Columbia,Carshare,,,42.4360008,-76.4922028,,
Hughes Hall,Law,http://images.localist.com/images/main/business_huge.png?1340747100,"241 Campus Rd, Ithaca, NY 14850",42.443679,-76.486349,Cafe (www.campuslife.cornell.edu/campuslife/dining/hughes.cfm),
Human Ecology Building,Central Campus,,"37 Forest Home Dr, Ithaca, NY 14850",42.450482,-76.478616,,
Humphreys Service Building,East Campus,,"639 Dryden Rd, Ithaca, NY 14850",42.442704,-76.475526,,
Hurlburt House,North Campus,http://images.localist.com/photo/000/018/818/huge/gTPuK5hMghv_6yMF.jpg?1308651619,"111 Country Club Rd, Ithaca, NY 14850",42.457931,-76.48394500000001,Ecology House; Housing,
I Barn,East Campus,,,42.44781982385726,-76.46417232707067,,
ILR Conference Center,Central Campus,http://images.localist.com/photo/000/016/570/huge/MNp_i6hUPqDeh5Yx.jpg?1298662715,,42.44695516891749,-76.48005966774562,,
Imogene Powers Johnson Center for Birds and Biodiversity,Near Campus,,"159 Sapsucker Woods Rd, Ithaca, NY 14850",42.479895,-76.45107,Lab of Ornithology; Sapsucker Woods; Bird Watching; Birdwatching; Adelson Library; Johnson Center for Birds and Biodiversity,
Industrial & Labor Relations Research,Central Campus,http://images.localist.com/photo/000/016/571/huge/RTkMfTZSZ_6pBoRa.jpg?1298662718,"140 Garden Ave, Ithaca, NY 14850",42.44659,-76.480102,ILR Research Building,
Insectary Complex,East Campus,,,42.44886111111111,-76.46988316063275,,
Ithaca Bus Terminal,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,42.43949166666666,-76.51103444132687,710 W. State St.,
Ithaca Campus,State,,,42.44701169589159,-76.47998026615886,QuickState; http://www.cornell.edu/visiting/ithaca/,
Ithaca College (IC),Community,,,42.42192222222222,-76.49499089765351,,
Ithaca Commons,Community,http://images.localist.com/photo/000/016/572/huge/Aleuk9SxUxBSoKBx.jpg?1298662725,,42.43960833333333,-76.49683611111111,Sagan Planet Walk; Food; Shopping; Bars; Restaurants; Shops,
Ithaca Farmers' Market,Community,http://images.localist.com/photo/000/016/573/huge/R2IphBqZuPLH8oNb.jpg?1298662729,,42.45101111111111,-76.5093150559042,,
Ithaca High School (IHS),Community,,,42.45507391136056,-76.49866238343768,,
Ithaca Police Department,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,42.43701936554292,-76.49762174761412,,
Ithaca Sciencenter,Community,http://images.localist.com/photo/000/016/574/huge/qke0ygsekV0xHK1V.jpg?1298662733,,42.44975833333333,-76.50446057216041,,
Ives Hall,Central Campus,http://images.localist.com/photo/000/016/575/huge/sv0l_ejI_F1enXpi.jpg?1298662736,"121 Tower Rd, Ithaca, NY 14850",42.447248,-76.481015,Martin P. Catherwood Library; Industrial and Labor Relations Library; ILR,
Ives Hall East,Central Campus,,"121 Tower Rd, Ithaca, NY 14850",42.44694,-76.480709,,
Ives Hall West,Central Campus,,"121 Tower Rd, Ithaca, NY 14850",42.447005,-76.48139399999999,,
J Barn,East Campus,,,42.44795277777777,-76.46430277777777,Ambulatory and Production Medicine Hospital for Animals,
JAM (Just About Music),North Campus,http://images.localist.com/photo/000/018/814/huge/vSzTPRumsa17nOzM.jpg?1308651500,,42.45511082868874,-76.47611913090689,,
James Law Auditorium,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"602 Tower Rd, Ithaca, NY 14850",42.447853,-76.466514,Vet School,
Jameson Hall,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"44 Sisson Pl, Ithaca, NY 14850",42.455676,-76.478212,Housing,
Japes Lodge,North Campus,http://images.localist.com/photo/000/018/813/huge/CfFWidM2bQEo6S2D.jpg?1308651457,,42.45242796996109,-76.4797914919881,,
Jennings Crabapple Collection,Plantations,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45301111111112,-76.45384166666668,Plantations,
Jessup Field,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45724166666667,-76.48062777777778,Intramural Sports,
Johnson Museum of Art,Arts,http://images.localist.com/photo/000/016/761/huge/z6RlrYrHx1xJmgRs.jpg?1298996351,,42.45072826618113,-76.48607233204829,Cafe (www.campuslife.cornell.edu/campuslife/dining/two-naked-guys-cafe.cfm),
Jordan Hall,State,http://images.localist.com/images/main/business_huge.png?1340747100,,42.87744166666667,-77.00721771520627,Frank A. Lee Library; Geneva Experiment Station Library,
Judith Eisner Pavilion,Areas and Features,http://images.localist.com/photo/000/016/579/huge/Tj_83OZ4Nhsv7Unt.jpg?1298662753,"430 College Ave, Ithaca, NY 14850",42.442732,-76.485426,,
K Barn,East Campus,,,42.44808229374934,-76.46439746082663,,
Kahin Center,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44799166666667,-76.49131666666666,Housing,
Kane Sports Complex,Athletics,http://images.localist.com/photo/000/016/580/huge/AnwXyaCOWtZDNKQJ.jpg?1298662758,,42.44672731004505,-76.47266029506604,Track and Field,
Kappa Alpha Theta,Greek,,"519 Stewart Ave., Ithaca, NY 14850",42.444569,-76.488953,Greek: Panhellenic,
Kappa Delta,Greek,,"109 Triphammer Rd., Ithaca, NY 14850",42.454868,-76.480469,Greek: Panhellenic,
Kappa Delta Rho,Greek,,"312 Highland Road, Ithaca, NY 14850",42.45789,-76.486992,Greek: IFC,
Kappa Kappa Gamma,Greek,,"508 Thurston Ave., Ithaca, NY 14850",42.453918,-76.48313899999999,Greek: Panhellenic,
Kappa Sigma,Greek,,"600 University Ave,. Ithaca, NY 14850",42.44984,-76.491417,Greek: IFC,
Kay Hall,North Campus,,"148 Cradit Farm Dr, Ithaca, NY 14850",42.454128,-76.477997,Housing,
Kennedy Hall,Ag,http://images.localist.com/photo/000/016/849/huge/l5TJ6JhaZAkFItKW.jpg?1299168059,"215 Garden Ave, Ithaca, NY 14850",42.448094,-76.479259,David L. Call Alumni Auditorium; Call Auditorium,
Kenneth Post Greenhouses,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44789722222222,-76.46935277777779,,
Kimball Hall,Engineering,http://images.localist.com/photo/000/016/582/huge/XVPy7ui_mMv8P7yW.jpg?1298662768,"134 Hollister Dr, Ithaca, NY 14850",42.443943,-76.483222,,
King-Shaw Hall,Central Campus,,"140 Garden Ave, Ithaca, NY 14850",42.44694,-76.480076,,
Kinzelberg Hall,Central Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"244 Garden Ave, Ithaca, NY 14850",42.449965,-76.479912,,
Kroch Library,Central Campus,,"216 East Ave, Ithaca, NY 14850",42.448031,-76.483459,,
L Barn,East Campus,,,42.44822502541795,-76.46445826860396,,
Lambda Chi Alpha,Greek,,"125 Edgemoor Lane, Ithaca, NY 14850",42.44376,-76.48793000000001,Greek: IFC,
Langmuir Lab,Near Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.485575,-76.45862476838232,,
Large Animal Research Teaching Unit,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"836 Campus Rd, Ithaca, NY 14850",42.44629,-76.467507,,
Leland Laboratory,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44947126094862,-76.46257043427542,,
Libe Slope,Areas and Features,http://images.localist.com/photo/000/016/584/huge/ACw7jv__CXu9VwsR.jpg?1298662781,,42.44857433820509,-76.48636809379705,,
Library Annex-Storage Facility,East Campus,http://images.localist.com/photo/000/016/585/huge/mgeEhBu3UaYRNbo6.jpg?1298662786,,42.44249734879541,-76.45803123736826,,
Liddell Laboratory,Near Campus,,"118 Freese Rd, Ithaca, NY 14850",42.460556,-76.44426900000001,,
Lincoln Hall,Arts,http://images.localist.com/photo/000/016/586/huge/IsvWp7LjTLkokyVw.jpg?1298662790,"256 East Ave, Ithaca, NY 14850",42.450147,-76.483496,Music Library; Sidney Cox Library of Music and Dance,
Little Moose Field Station,State,,,43.681084,-74.940742,Natural Resources; QuickState,
Livestock Pavilion,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"48 Judd Falls Rd, Ithaca, NY 14850",42.446585,-76.47067800000001,Livestock Shows,
Louie's Lunch Truck,North Campus,http://images.localist.com/photo/000/016/587/huge/E_UUKARzKbf_cf9N.jpg?1298662794,,42.45336111111111,-76.48125277777778,Cafe (www.louieslunch.com); Truck,
Lynah Rink,Athletics,http://images.localist.com/photo/000/016/589/huge/8y8_naDQqeAGhDt6.jpg?1298662802,"536 Campus Rd, Ithaca, NY 14850",42.445708,-76.477446,Hockey,
Lyon Hall,West Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"336 West Ave, Ithaca, NY 14850",42.4478,-76.488041,Housing,
M Barn,East Campus,,,42.44839035563588,-76.46454040917499,,
Machine Shop,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44316615602954,-76.47118311928311,,
Malott Hall,Central Campus,http://images.localist.com/photo/000/016/590/huge/5toFCBxZ8PJAWSPN.jpg?1298662808,"212 Garden Ave, Ithaca, NY 14850",42.448225,-76.48019499999999,Mathematics Library,
Mann Library,Ag,http://images.localist.com/photo/000/016/663/huge/odLHO8kCnmquss4u.jpg?1298675795,"237 Mann Dr, Ithaca, NY 14850",42.448793,-76.476343,Manndible Cafe (manndiblecafe.com); Albert R. Mann Library,
Maple Ave,Carshare,,,42.4413986,-76.4753036,,
Maplewood Park,East Hill,,"201 Maple Ave, Ithaca, NY 14850",42.439366,-76.472694,Housing,
Maplewood Park Apartments Community Center,East Hill,,"201 Maple Ave, Ithaca, NY 14850",42.441053,-76.47401499999999,,
Martha Van Rensselaer East Building,Central Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"130 Reservoir Ave, Ithaca, NY 14850",42.450093,-76.477969,,
Martha Van Rensselaer Hall,Central Campus,http://images.localist.com/photo/000/016/593/huge/fyez9rml3XTlFAAH.jpg?1298662820,"116 Reservoir Ave, Ithaca, NY 14850",42.450011,-76.47867100000001,Cafe (www.campuslife.cornell.edu/campuslife/dining/marthas.cfm); Cornell MRI Facility; Cornell Magnetic Resonance Imaging Facility; CMRIF,
Martha Van Rensselaer West Building,Central Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"27 Forest Home Dr, Ithaca, NY 14850",42.450243,-76.479102,,
Mary Donlon Hall,North Campus,http://images.localist.com/photo/000/016/594/huge/zvqIW5VP9x_cNb_D.jpg?1298662825,"57 Sisson Pl, Ithaca, NY 14850",42.45496,-76.477745,Housing,
McFadden Hall,West Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44723859723326,-76.48801326472957,Housing,
McGraw Hall,Arts,http://images.localist.com/photo/000/016/595/huge/lCzKLNBY3MmOHFno.jpg?1298662830,,42.44938933697732,-76.48543029250196,,
McGraw Tower,Central Campus,http://images.localist.com/photo/000/016/596/huge/_Xbhk_nsvclyKd8x.jpg?1298662834,,42.44755833333333,-76.48505277777778,Chimes Concerts,
Mennen Hall,West Campus,http://images.localist.com/photo/000/016/597/huge/6P_SWq4Ez8bTQkKA.jpg?1298662838,"342 West Ave, Ithaca, NY 14850",42.447999,-76.488062,Housing,
Merrill Family Sailing Center,Athletics,http://images.localist.com/images/main/business_huge.png?1340747100,,42.47016986412833,-76.5031021934047,Sailboats,
Mews Hall,North Campus,http://images.localist.com/photo/000/016/598/huge/vHn5spPOlLhyt20h.jpg?1298662842,,42.45438603750161,-76.47689447045187,Housing,
Micro-Kelvin Laboratory,Central Campus,,"142 Sciences Dr, Ithaca, NY 14850",42.449156,-76.481238,,
Miller-Heller House,Near Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.43904444444444,-76.48755277777778,AAP; 122 Eddy St.,
Milstein Hall,Arts,http://images.localist.com/photo/000/032/305/huge/XBo9YZN2NJU1XcBE.jpg?1334781088,"943 University Ave, Ithaca, NY 14850",42.451219,-76.483563,Milstein Auditorium,
Minn's Garden,Plantations,http://images.localist.com/photo/000/016/599/huge/k2RflC_i7nVZ8y0S.jpg?1298662846,,42.44778358988403,-76.47757970515482,Plantations; Minns Garden,
Moakley House Golf Course,North Campus,,"215 Warren Rd, Ithaca, NY 14850",42.458244,-76.467325,,
Moore Laboratory,East Campus,,"602 Tower Rd, Ithaca, NY 14850",42.44804,-76.465723,,
Morrill Hall,Arts,http://images.localist.com/photo/000/016/600/huge/ezkoGZMHFBUggZYH.jpg?1298662850,"159 Central Ave, Ithaca, NY 14850",42.448637,-76.485315,,
Morrison Hall,East Campus,http://images.localist.com/photo/000/016/601/huge/dunTrUWMSDpcndj5.jpg?1298662854,"507 Tower Rd, Ithaca, NY 14850",42.446301,-76.46926000000001,,
Muenscher Laboratory,East Campus,,"130 Tuber Dr, Ithaca, NY 14850",42.44965,-76.463213,,
Museum of the Earth,Community,http://images.localist.com/photo/000/017/003/huge/RoLEq8dKdMiE401q.jpg?1299841940,,42.46634225981987,-76.53638357372144,Paleontological Research Institution,
Myron Taylor Hall,Law,http://images.localist.com/photo/000/016/603/huge/oHIBJHt1wa7uIIZM.jpg?1298662862,"524 College Ave, Ithaca, NY 14850",42.444024,-76.485592,Law School; Law Library,
Myron Taylor Jane Foster Library Addition,Law,http://images.localist.com/images/main/business_huge.png?1340747100,"514 College Ave, Ithaca, NY 14850",42.443742,-76.485784,MTJF Library Addition,
Nematode Lab,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44729800319504,-76.46845999782299,,
New York City,State,,,40.70585565280153,-73.89585841478242,QuickState; QuickWorld; http://www.cornell.edu/nyc/,
New York State Agricultural Experiment Station,State,http://images.localist.com/images/main/business_huge.png?1340747100,,42.877110000326,-77.00765099994464,NYSAES; QuickState; http://cals.cornell.edu/nysaes/,
New York State Veterinary Diagnostic Laboratory,East Campus,,"240 Farrier Rd, Ithaca, NY 14850",42.448806,-76.46427,Animal Health Diagnostic Center; AHDC; NYS Veterinary Diagnostic Laboratory,Animal Health Diagnostic Center
Newman Accelerator Building,Central Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45052986899349,-76.4804966589451,,
Newman Arboretum,Areas and Features,http://images.localist.com/photo/000/016/552/huge/pvOf_eLB5g6BQpCw.jpg?1298662631,,42.45186111111111,-76.45599444444444,Plantations,
Newman Lab,Central Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45024663982961,-76.48044684980954,,
North Campus,Carshare,,,42.456501,-76.4776993,,
North Campus,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45525978830351,-76.47831624576979,,
North Campus  Low Rise 9,North Campus,,,42,-76,Housing,
North Campus High Rise 5,North Campus,http://images.localist.com/photo/000/018/824/huge/CKQOqoJ_nclcP6Lh.jpg?1308652226,"225 Jessup Rd, Ithaca, NY 14850",42.456161,-76.476787,Housing,
North Campus Low Rise 6,North Campus,http://images.localist.com/photo/000/016/588/huge/2PWfqmqkkSvcKzrv.jpg?1298662798,"237 Jessup Rd, Ithaca, NY 14850",42.456324,-76.47610299999999,Housing,
North Campus Low Rise 7,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"116 Program House Dr, Ithaca, NY 14850",42.456156,-76.47536100000001,Housing,
North Campus Low Rise 9,North Campus,,"142 Program House Dr, Ithaca, NY 14850",42.454899,-76.476139,Housing,
North Campus Student Center,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"224 Jessup Rd, Ithaca, NY 14850",42.457317,-76.476896,,
North Campus Townhouse A,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"210 Jessup Rd, Ithaca, NY 14850",42.457024,-76.47785,Housing,
North Campus Townhouse B,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"218 Jessup Rd, Ithaca, NY 14850",42.457091,-76.47730799999999,Housing,
North Campus Townhouse C,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"228 Jessup Rd, Ithaca, NY 14850",42.456977,-76.476651,Housing,
North Campus Townhouse D,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"234 Jessup Rd, Ithaca, NY 14850",42.457243,-76.476322,Housing,
North Campus Townhouse E,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"238 Jessup Rd, Ithaca, NY 14850",42.456984,-76.476005,Housing,
North Campus Townhouse F,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"244 Jessup Rd, Ithaca, NY 14850",42.457184,-76.475656,Housing,
North Campus Townhouse G,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"250 Jessup Rd, Ithaca, NY 14850",42.457022,-76.4753,Housing,
North Campus Townhouse H,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"258 Jessup Rd, Ithaca, NY 14850",42.457273,-76.474917,Housing,
Noyes Community and Recreation Center,West Campus,http://images.localist.com/photo/000/016/606/huge/6E4fpmxTbR_F5La5.jpg?1298662879,"306 West Ave, Ithaca, NY 14850",42.446462,-76.488018,Fitness; Noyes Community Rec Center; Noyes Community Recreation Center,
Noyes Lodge,North Campus,http://images.localist.com/photo/000/016/607/huge/3VyZSBCYoeMkJL3v.jpg?1298662883,,42.45210573025183,-76.48027858583075,,
Oak Avenue,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,,42.4427016140413,-76.48416898180099,Housing,
Oak/College,Carshare,,,42.4426003,-76.4848022,,
Olin Chem Lab,Central Campus,http://images.localist.com/photo/000/016/608/huge/PZpR5HEkuowOaI13.jpg?1298662889,,42.45074127699409,-76.48125595870647,,
Olin Hall,Engineering,http://images.localist.com/photo/000/016/609/huge/uoSHeuG5SMzH1W2n.jpg?1298662894,"113 Ho Plz, Ithaca, NY 14850",42.445429,-76.484397,,
Olin Library,Central Campus,http://images.localist.com/photo/000/016/610/huge/w_5TydOgbRoGEWMH.jpg?1298662898,"161 Ho Plz, Ithaca, NY 14850",42.44785,-76.484241,Cafe (www.campuslife.cornell.edu/campuslife/dining/libe-cafe.cfm); Carl A. Kroch Library; Asia Collections; Echols Collection on Southeast Asia; South Asia Collection; Wason Collection on East Asia; John M. Olin Library; Rare and Manuscript Collections,
Olive Tjaden Hall,Arts,http://images.localist.com/photo/000/016/611/huge/HmqO_IFgZ0UcbOsN.jpg?1298662902,"909 University Ave, Ithaca, NY 14850",42.450889,-76.48539100000001,AAP,
Orchards Parking,Parking,,,42.44519893221601,-76.46231350856533,Parking for Cornell Orchards,
Oxley Equestrian Center,East Hill,http://images.localist.com/photo/000/016/821/huge/7wD_MmCHjiA6P46s.jpg?1299108430,"220 Pine Tree Rd, Ithaca, NY 14850",42.433978,-76.46458699999999,Horses; Equine; Polo; Horseback Riding; 220 Pine Tree Road; Stables,
Parking Garage,Parking,,"167 Hoy Rd, Ithaca, NY 14850",42.443951,-76.479574,Metered Parking,
Parking at Alumni House,Parking,,,42.45202462236333,-76.48101211510237,Metered Parking,
Parking at Appel,Parking,,,42.45352362931494,-76.47542146951328,Metered Parking,
Parking at Art Museum,Parking,,,42.45100573371759,-76.48596671721697,Metered Parking,
Parking at Friedman,Parking,,,42.44548888888889,-76.47520833333334,Metered Parking,
Parking at Helen Newman,Parking,,,42.4529243212554,-76.47847575930174,Metered Parking,
Parking at RPCC,Parking,,,42.45633610589406,-76.47762515302635,Metered Parking,
Parking at The Straight,Parking,,,42.44638094120206,-76.48617381388807,Metered Parking,
Parrot Hall,State,http://images.localist.com/images/main/business_huge.png?1340747100,,42.87689944825755,-77.00803030067536,,
Pedestrian Suspension Bridge,Areas and Features,http://images.localist.com/photo/000/016/612/huge/M1jqii7ajL82vAeF.jpg?1298662913,,42.45199634308092,-76.48610279769602,,
Peony Gardens,Plantations,http://images.localist.com/images/main/business_huge.png?1340747100,,42.44914444444444,-76.47250555555556,Plantations,
Peter Plaza,Areas and Features,http://images.localist.com/photo/000/016/613/huge/sLw7Y9Q6Yasu57wP.jpg?1298662917,,42.44687932475086,-76.48222236983815,,
Peterson Lot,Parking,,,42.44779166666666,-76.47047222222223,Metered Parking,
Peterson Oak Grove,Plantations,http://images.localist.com/images/main/business_huge.png?1340747100,,42.45151111111112,-76.45201388888889,Plantations,
Phi Delta Theta,Greek,,"2 Ridgewood Road, Ithaca, NY 14850",42.454781,-76.48954000000001,Greek: IFC,
