Name,Latitude,Longitude
Albany/Court,42.4420013,-76.5018005
Aurora/Yates,42.4472008,-76.4961014
Buffalo/Stewart,42.4416008,-76.490097
Carpenter Hall,42.4449997,-76.4841995
Cascadilla/Park,42.4444008,-76.5055008
Cayuga/Farm,42.4448013,-76.4991989
Cayuga/Lewis,42.4496002,-76.4994965
College/Dryden,42.4413986,-76.485199
Court/Linn,42.4426994,-76.4945984
Dryden/Elmwood,42.4412003,-76.4822998
Eddy/Dryden,42.4422989,-76.4873962
Green St,42.4387016,-76.4973984
Hudson/Columbia,42.4360008,-76.4922028
Maple Ave,42.4413986,-76.4753036
North Campus,42.456501,-76.4776993
Oak/College,42.4426003,-76.4848022
S Geneva/McGraw,42.4375992,-76.5006027
Seneca/Cayuga,42.4404984,-76.4988022
Seneca/Fulton,42.4403,-76.5102997
State/Corn,42.4393005,-76.5057983
State/Quarry,42.4388008,-76.4888
Stewart Ave,42.4482002,-76.490303
Titus/Plain,42.4342003,-76.5039978
Tower/Garden,42.4474983,-76.4792023
Triangle Park,42.4450989,-76.4992981