ID,Name,Latitude,Longitude,Address,Notes
4101,University Avenue,42.448629,-76.492116,467-575 University Ave,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 7 days)<br />Rate Days: Mon-Sun<br />Hours: 12:00am - 11:59pm<br />Day Rate Exp.: Next Day at 7:30
4102,Stewart and Williams,42.442699,-76.489359,415 Stewart Ave,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 7 days)<br />Rate Days: Mon-Sun<br />Hours: 12:00am - 11:59pm<br />Day Rate Exp.: Next Day at 7:30
4103,Anna Comstock,42.45433,-76.482407,Kelvin Pl,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 7 days)<br />Rate Days: Mon-Sun<br />Hours: 12:00am - 11:59pm<br />Day Rate Exp.: Next Day at 7:30
4104,CC Lot,42.456244,-76.479092,Jessup Rd,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 7 days)<br />Rate Days: Mon-Sun<br />Hours: 12:00am - 11:59pm<br />Day Rate Exp.: Next Day at 7:30
4105,Hurlburt House,42.458278,-76.483748,111 Country Club Rd,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 7 days)<br />Rate Days: Mon-Sun<br />Hours: 12:00am - 11:59pm<br />Day Rate Exp.: Next Day at 7:30
4106,Hasbrouck Apartments,42.455921,-76.47148,2205 Hasbrouck Cir,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 7 days)<br />Rate Days: Mon-Sun<br />Hours: 12:00am - 11:59pm<br />Day Rate Exp.: Next Day at 7:30
4107,Maplewood Apartments/Maplewood Main,42.440173,-76.473652,Veteran's Pl,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 7 days)<br />Rate Days: Mon-Sun<br />Hours: 12:00am - 11:59pm<br />Day Rate Exp.: Next Day at 7:30
4108,TRB Lot,42.445169,-76.466281,New York 366,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 3 days)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Day Rate Exp.: Next Day at 7:30
4109,East Hill Office Building,42.439342,-76.463728,395 Pine Tree Rd,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 3 days)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Day Rate Exp.: Next Day at 7:30
4110,CISER,42.439563,-76.465681,391 Pine Tree Rd,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 3 days)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Day Rate Exp.: Next Day at 7:30
4111,Dywer Dam Lot,42.443997,-76.474392,644-684 Dryden Rd,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 3 days)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Day Rate Exp.: Next Day at 7:30
4112,Friedman Visitor Lot,42.445929,-76.474682,Campus Rd,Hourly rate:  $1.50 (max.: 8 hours)<br />Daily rate: $10 (max.: 1 day)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Day Rate Exp.: Next Day at 7:30
4112,Friedman Visitor Lot,42.445929,-76.474682,Campus Rd,Hourly rate:  $1.50 (max.: 8 hours)<br />Daily rate: $10 (max.: 1 day)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Day Rate Exp.: Next Day at 7:30
4113,West Avenue,42.448692,-76.487573,240 West Ave,Hourly rate:  $1.50 (max.: 8 hours)<br />Daily rate: $10 (max.: 1 day)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Day Rate Exp.: Next Day at 7:30
4114,Toboggan Lodge,42.451091,-76.478673,38 Forest Home Drive,Hourly rate:  $1.50 (max.: 8 hours)<br />Daily rate: $10 (max.: 1 day)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Day Rate Exp.: Next Day at 7:30
4115,B Lot,42.44623,-76.463642,930 Campus Rd,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 14 days)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm
4115,B Lot,42.44623,-76.463642,930 Campus Rd,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 14 days)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm
4116,Schuyler House,42.44007,-76.49129,100-160 Sage Pl,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 7 days)<br />Rate Days: Mon-Sun<br />Hours: 07:30am - 10:00pm<br />Day Rate Exp.: Next Day at 7:30
4117,Thurston Court Apts.,42.453603,-76.486902,223 Thurston Ave,Hourly rate:   $.75 (max.: 8 hours)<br />Daily rate: $6 (max.: 7 days)<br />Rate Days: Mon-Sun<br />Hours: 07:30am - 10:00pm<br />Day Rate Exp.: Next Day at 7:30
4119,Alumni House North Campus,42.45215,-76.480996,Thurston Ave,Hourly rate:  $1.50 (max.: 8 hours)<br />Daily rate: $10 (max.: 1 day)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Day Rate Exp.: Next Day at 7:30
4120,Cornell Plantations Nevin Welcome Center,42.44873,-76.472638,,Hourly rate:  $1.50 (max.: 3 hours)<br />Daily rate: $3 (max.: 0 day)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Notes: 1st hour is Free
4121,Hoy South Lot (Hoy Road; adjacent to garage),42.443514,-76.480111,Hoy Road,Hourly rate:  $1.50 (max.: 8 hours)<br />Daily rate: $10 (max.: 1 day)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Day Rate Exp.: Next Day at 7:30
4122,Peterson Lot,42.448017,-76.470471,Tower Road,Hourly rate:  $1.50 (max.: 8 hours)<br />Daily rate: $10 (max.: 1 day)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Day Rate Exp.: Next Day at 7:30
4124,Appel Commons Lot North Campus,42.45366,-76.475047,Pleasant Grove Rd,Hourly rate:  $1.00 (max.: 10 hours)<br />Daily rate: $10 (max.: 1 day)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm<br />Day Rate Exp.: Next Day at 7:30
4123,Willard Straight Hall/Gannett Health Central Campus,42.446456,-76.48609,Campus Rd,Hourly rate:  $1.50 (max.: 2 hours)<br />Daily rate: $3 (max.: 0 day)<br />Rate Days: Mon-Fri<br />Hours: 07:30am - 05:00pm